name	AMCSD_code
Hydroxylclinohumite	302
Elpidite	303
Ezcurrite	304
Kogarkoite	305
Maucherite	306
Eitelite	307
Epidote	308
Epidote	309
Fassaite	310
Fluorophlogopite	311
Sanidine	312
Orthoclase	313
Hureaulite	314
Ferricopiapite	315
Cavansite	316
Pentagonite	317
Parkerite	318
Latiumite	319
Orthoclase	320
Tincalconite	321
Kornelite	322
Forsterite	323
Forsterite	324
Forsterite	325
Forsterite	326
Forsterite	327
Forsterite	328
Forsterite	329
Forsterite	330
Forsterite	331
Fayalite	332
Fayalite	333
Fayalite	334
Fayalite	335
Aegirine	336
Aegirine	337
Aegirine	338
Aegirine	339
Diopside	340
Diopside	341
Diopside	342
Diopside	343
Diopside	344
Hedenbergite	345
Hedenbergite	346
Hedenbergite	347
Hedenbergite	348
Hedenbergite	349
Hedenbergite	350
Jadeite	351
Jadeite	352
Jadeite	353
Jadeite	354
Spodumene	355
Spodumene	356
Spodumene	357
Spodumene	358
Kosmochlor	359
Kosmochlor	360
Kosmochlor	361
Ferrosilite	362
Ferrosilite	363
Ferrosilite	364
Ferrosilite	365
Ferrosilite	366
Ferrosilite	367
Tremolite	368
Tremolite	369
Anorthite	370
Anorthite	371
Natrolite	372
Natrolite	373
Natrolite	374
Natrolite	375
Eucryptite	376
Eucryptite	377
Eucryptite	378
Eucryptite	379
Eucryptite	380
Eucryptite	381
Boracite	382
Hanksite	383
Tremolite	384
Fluorophlogopite	385
Annite	386
Datolite	387
Callaghanite	388
Magnesite	389
Teruggite	390
Scawtite	391
Crandallite	392
Roweite	393
Bikitaite	394
Danburite	395
Howieite	396
Ferrowyllieite	397
Jagowerite	398
Ussingite	399
Butschliite	400
Co2SiO4	401
Co2SiO4	402
Co2SiO4	403
Fe2SiO4	404
Ni2SiO4	405
Kushiroite	406
Bjarebyite	407
Veszelyite	408
Quenstedtite	409
Montgomeryite	410
Whitmoreite	411
Hydroxyl-herderite	412
Hydroxylherderite	413
Jahnsite-(CaMnMg)	414
Trolleite	415
Pinakiolite	416
Warwickite	417
Biringuccite	418
Wodginite	419
Clinohypersthene	420
Clinohypersthene	421
Clinohypersthene	422
Clinohypersthene	423
Clinohypersthene	424
Clinohypersthene	425
Clinohypersthene	426
Semseyite	427
Yedlinite	428
Gillespite	429
Gillespite	430
Hurlbutite	431
Stewartite	432
Chevkinite-(Nd)	433
Chevkinite-(Nd)	434
Perrierite-(La)	435
Feldspar	436
Pentlandite	437
Pentlandite	438
Pentlandite	439
Pentlandite	440
Pentlandite	441
Pentlandite	442
Pentlandite	443
Feldspar	444
Whitlockite	445
Pyrope	446
Pyrope	447
Pyrope	448
Pyrope	449
Grossular	450
Grossular	451
Grossular	452
Szaibelyite	453
Ancylite-(Ce)	454
Liebenbergite	455
Krupkaite	456
Hedenbergite	457
Hedenbergite	458
Clinoferrosilite	459
Clinoferrosilite	460
Cuprosklodowskite	461
Fe3(H2O)[PO4]2	462
Palermoite	463
Lithidionite	464
Junoite	465
Omphacite	466
SrGa2Si2O8	467
SrGa2Ge2O8	468
Joaquinite-(Ce)	469
Ameghinite	470
Pseudorutile	471
Gillespite	472
Foggite	473
Tetradymite	474
Sinnerite	475
Scholzite	476
Margarite-2M1	477
Biotite	478
Biotite	479
Fayalite	480
Fayalite	481
Fayalite	482
Fayalite	483
Braunite	484
Olmsteadite	485
Montgomeryite	486
Ferrosilite	487
Ferrosilite	488
Ferrosilite	489
Ferrosilite	490
Ferrosilite	491
Ferrosilite	492
Pellyite	493
Bredigite	494
Painite	495
Leucite	496
Hulsite	497
Searlesite	498
Serandite	499
Titanite	500
Periclase	501
Periclase	502
Periclase	503
Periclase	504
Periclase	505
Periclase	506
Periclase	507
Periclase	508
Periclase	509
Periclase	510
Periclase	511
Periclase	512
Periclase	513
Periclase	514
Periclase	515
Periclase	516
Diopside	517
Alunogen	518
Celsian	519
Titanite	520
Titanite	521
Titanite	522
Titanite	523
Titanite	524
Vuagnatite	525
Proudite	526
Scapolite	527
Scapolite	528
Eakerite	529
Geocronite	530
Tridymite	531
Adamite	532
Hopeite	533
Covellite	534
Crichtonite	535
Albite	536
Albite	537
Albite	538
Albite	539
Albite	540
Albite	541
Albite	542
Braunite	543
Bermanite	544
Forsterite	545
Forsterite	546
Forsterite	547
Forsterite	548
Forsterite	549
Forsterite	550
Forsterite	551
Forsterite	552
Slawsonite	553
Gerstmannite	554
Melonjosephite	555
Cordierite	556
Hellandite-(Y)	557
Reichenbachite	558
Lanthanite-(Ce)	559
Barylite	560
Samuelsonite	561
Schoonerite	562
Minyulite	563
Harkerite	564
Fayalite	565
Fayalite	566
Fayalite	567
Fayalite	568
Fayalite	569
Fayalite	570
Fayalite	571
Fayalite	572
Fayalite	573
KAlSiO4	574
Heazlewoodite	575
Ullmannite	576
Ullmannite	577
Shattuckite	578
Plancheite	579
Rosenhahnite	580
Holdenite	581
Overite	582
Segelerite	583
Dolomite	584
Calcite	585
Malayaite	586
Dioptase	587
Phosphophyllite	588
K6LiFe24S26Cl	589
Armalcolite	590
Armalcolite	591
Armalcolite	592
Armalcolite	593
Armalcolite	594
Albite	595
Albite	596
Albite	597
Aristarainite	598
Deerite	599
Pseudomalachite	600
Tuscanite	601
Reinerite	602
Hungchaoite	603
Zinnwaldite	604
Pyrite	605
Pyrite	606
Ferrobustamite	607
Pyroxene	608
Loveringite	609
Hematolite	610
Ulexite	611
Salesite	612
Cu(IO3)2*2H2O	613
Paramelaconite	614
Margarite	615
Hydroxyapophyllite	616
Apophyllite-(KOH)	617
Bustamite	618
Bustamite	619
Bustamite	620
Wollastonite	621
Wollastonite	622
Serandite	623
Pectolite	624
Berndtite-2T	625
Berndtite-2T	626
Berndtite-2T	627
Fluorophlogopite	628
Pyrope	629
Pyrope	630
Pyrope	631
Pyrope	632
Pyrope	633
Grossular	634
Grossular	635
Grossular	636
Grossular	637
Zektzerite	638
Lawsonite	639
Lepidolite	640
Halite	641
Liebenbergite	642
Liebenbergite	643
Liebenbergite	644
Liebenbergite	645
Monticellite	646
Monticellite	647
Monticellite	648
Monticellite	649
Glaucochroite	650
Glaucochroite	651
Glaucochroite	652
Glaucochroite	653
Analcime	654
Analcime	655
Analcime	656
Analcime	657
Analcime	658
Analcime	659
Analcime	660
Guildite	661
Barite	662
Baryte	663
Celestine	664
Anglesite	665
Ardealite	666
Chondrodite	667
Hydroxylclinohumite	668
Inesite	669
Iron	670
Iron	671
Iron	672
Iron	673
Iron	674
Iron	675
Iron	676
Iron	677
Iron	678
Iron	679
Iron	680
Iron	681
Iron	682
Hydrochlorborite	683
Carlfriesite	684
Sherwoodite	685
Manganhumite	686
Jimthompsonite	687
Clinojimthompsonite	688
Chesterite	689
Rhodonite	690
Tsumoite	691
Zn(Zn.1Li.6Si.3)SiO4-alpha	692
Zn(Zn.1Li.6Si.3)SiO4-beta	693
Albite	694
Sanidine	695
Zircon	697
Zircon	698
Zircon	699
Zircon	700
Zircon	701
Zircon	702
Zircon	703
Zircon	704
Semenovite-(Ce)	705
Cordierite	706
Cordierite	707
Cordierite	708
Sekaninaite	709
Sekaninaite	710
Kottigite	711
Baratovite	712
Magnussonite	713
Microcline	714
Albite	715
Albite	716
Albite	717
Albite	718
Albite	719
Albite	720
Albite	721
Agrellite	722
Sillimanite	723
Sillimanite	724
Sillimanite	725
Sillimanite	726
Sillimanite	727
Andalusite	728
Andalusite	729
Andalusite	730
Andalusite	731
Andalusite	732
Kyanite	733
Kyanite	734
Kyanite	735
(NH4)H8Fe3(PO4)6(H2O)6	736
Phase-A	737
Armangite	738
Dravite	739
Wairakite	740
Ni2SiO4	741
Ni2SiO4	742
Ni2SiO4	743
Ni2SiO4	744
Ni2SiO4	745
Ni2SiO4	746
Ni2SiO4	747
Fe2SiO4	748
Davidite-(La)	749
Versiliaite	750
Apuanite	751
Senegalite	752
Krautite	753
Ferronigerite-6N6S	754
Villamaninite	755
Biotite	756
Labradorite	757
Labradorite	758
Labradorite	759
Labradorite	760
Labradorite	761
Labradorite	762
Cordierite	763
Cordierite	764
Cordierite	765
Cordierite	766
Cordierite	767
Cordierite	768
Cordierite	769
Clinochlore	770
Clinochlore	771
Taramellite	772
Titantaramellite	773
Ullmannite	774
Kimzeyite	775
Whewellite	776
Weddellite	777
Paulmooreite	778
Penninite	779
Paradamite	780
Rasvumite	782
Kolicite	783
Althausite	784
Erdite	785
Chloritoid	786
Tetrataenite	787
Braunite	788
Quartz	789
Quartz	790
Quartz	791
Quartz	792
Quartz	793
Quartz	794
Klebelsbergite	795
Peretaite	796
Albite	797
Albite	798
Albite	799
Albite	800
Forsterite	801
Tephroite	802
Nekoite	803
Wonesite	804
Diopside	805
Kanoite	806
Santaclaraite	807
Ludjibaite	808
Amesite	809
Heulandite-Ca	810
Diopside	811
Diopside	812
Diopside	813
Diopside	814
Diopside	815
Coesite	816
Coesite	817
Coesite	818
Coesite	819
Coesite	820
Coesite	821
Coesite	822
Pyrophyllite	823
Bartonite	824
Picropharmacolite	825
Meniaylovite	826
Menyailovite	827
Nukundamite	828
Natroapophyllite	829
Apophyllite-(NaF)	830
Ferro-axinite	831
Axinite-(Fe)	832
Kanonaite	833
Wadsleyite	834
Wadsleyite	835
Mica	836
Uranophane - alpha	837
Boltwoodite	838
Weeksite	839
Liebenbergite	840
Liebenbergite	841
Fillowite	842
Jagoite	843
Ca(H2O)3(C2O4)	844
Tivanite	845
Arrojadite-(KFe)	846
Arrojadite-(KFe)	847
Dickinsonite-(KMnNa)	848
Magnesiocarpholite	849
Lepidolite-2M2	850
Lepidolite-1M	851
Lepidolite-1M	852
Dixenite	853
Muscovite	854
Yoderite	855
Yoderite	856
Minamiite	857
Natroalunite	858
Thadeuite	859
Suessite	860
Biotite	861
Biotite	862
Biotite	863
Chalcocite	864
Magnesiohogbomite-2N2S	865
Campigliaite	866
Lizardite	867
Cascandite	868
Zirkelite	869
Akimotoite	870
Hafnon	871
Graftonite	872
Preisingerite	873
Anorthoclase	874
Anorthoclase	875
Anorthoclase	876
Anorthoclase	877
Anorthoclase	878
Anorthoclase	879
Hyalotekite	880
Tornebohmite-(Ce)	881
Lawsonbauerite	882
Cobaltite	883
Gersdorffite-Pca21	884
Hyalophane	887
Bityite	888
Laffittite	889
Sulfoborite	890
Calciobetafite	891
Zirconolite	892
Zirkelite	893
Stilbite-Na	894
Galaxite	895
Wadeite	896
Gillespite	897
Gillespite	898
Gillespite	899
Gillespite	900
Bannermanite	903
Dolomite	904
Dolomite	905
Dolomite	906
Surinamite	907
Ohmilite	908
Vonsenite	909
Nolanite	910
Nolanite	911
Fluororichterite	912
Fluororichterite	913
Fluororichterite	914
Fluororichterite	915
Fluororichterite	916
Fluororichterite	917
Fluororichterite	918
Fluororichterite	919
Fluororichterite	920
Cerite-(Ce)	921
Gainesite	922
CaGeO3	923
Paragonite	924
Ilmenite	925
Ilmenite	926
Ilmenite	927
Ilmenite	928
Ilmenite	929
Ilmenite	930
Ilmenite	931
Ilmenite	932
Ilmenite	933
Ilmenite	934
Cappelenite-(Y)	935
Clinoferrosilite	936
Donpeacorite	937
Andalusite	938
Andalusite	939
Andalusite	940
Andalusite	941
Titanite	942
Titanite	943
Titanite	944
Magnetite	945
Titanomagnetite	946
Titanomagnetite	947
Titanomagnetite	948
Titanomagnetite	949
Titanomagnetite	950
Titanomagnetite	951
Titanomagnetite	952
Titanomagnetite	953
Gillespite	954
Davreuxite	955
Sarcopside	956
Hedyphane	957
Hercynite	958
Germanite	959
Gadolinite-(Y)	960
Viitaniemiite	961
Microcline	962
Roeblingite	963
Tetrahedrite	964
Orientite	965
Macfallite	966
Ruizite	967
Alleghanyite	968
