#InstrumentID: BTX.359
#DatasetName: Mix3C
#SampleInfo: 
#AcquisitionDate: 12/12/13 18:06:41
#IntegrationTime: 400 seconds
#GeometryParams: axisX = -68.5142 axisY = 134 axisZ = 1194.7 sensorAngle1 = -29.0823 sensorAngle3 = 0
#EnergyParams: splitThreshold = 12 CoKaPeak = 1294 kBFilterIn = 1
5	318.062
5.05	275.744
5.1	264.909
5.15	267.14
5.2	266.046
5.25	316.721
5.3	298.138
5.35	317.062
5.4	262.651
5.45	340.352
5.5	346.738
5.55	300.625
5.6	296.481
5.65	295.679
5.7	336.111
5.75	337.632
5.8	323.733
5.85	343.265
5.9	346.684
5.95	296.11
6	327.774
6.05	388.609
6.1	413.689
6.15	363.167
6.2	399.815
6.25	427.639
6.3	388.601
6.35	376.844
6.4	394.537
6.45	432.51
6.5	434.467
6.55	477.137
6.6	382.046
6.65	394.085
6.7	386.866
6.75	398.007
6.8	381.708
6.85	343.824
6.9	342.54
6.95	347.089
7	362.857
7.05	354.529
7.1	387.498
7.15	327.079
7.2	342.639
7.25	334.461
7.3	285.795
7.35	295.408
7.4	264.522
7.45	321.346
7.5	319.546
7.55	289.734
7.6	320.001
7.65	285.203
7.7	295.561
7.75	333.317
7.8	242.072
7.85	288.354
7.9	324.58
7.95	296.286
8	300.617
8.05	309.173
8.1	232.637
8.15	309.479
8.2	252.887
8.25	278.57
8.3	293.836
8.35	279.438
8.4	271.322
8.45	292.762
8.5	263.641
8.55	329.179
8.6	255.638
8.65	263.454
8.7	333.448
8.75	317.689
8.8	255.818
8.85	278.456
8.9	272.12
8.95	340.452
9	321.09
9.05	281.714
9.1	302.681
9.15	317.116
9.2	345.929
9.25	315.894
9.3	291.465
9.35	333.967
9.4	305.776
9.45	394.518
9.5	269.302
9.55	339.046
9.6	354.472
9.65	352.704
9.7	393.168
9.75	411.111
9.8	540.827
9.85	401.73
9.9	527.457
9.95	522.448
10	601.549
10.05	647.921
10.1	610.319
10.15	565.602
10.2	592.707
10.25	477.899
10.3	492.485
10.35	453.63
10.4	372.049
10.45	333.458
10.5	367.188
10.55	342.869
10.6	298.661
10.65	292.835
10.7	324.288
10.75	354.07
10.8	307.178
10.85	315.452
10.9	271.694
10.95	294.077
11	285.546
11.05	301.066
11.1	276.684
11.15	335.423
11.2	302.426
11.25	305.558
11.3	342.056
11.35	373.574
11.4	335.661
11.45	315.163
11.5	300.449
11.55	331.308
11.6	370.015
11.65	347.358
11.7	331.677
11.75	352.015
11.8	316.726
11.85	321.707
11.9	395.6
11.95	345.325
12	323.072
12.05	326.502
12.1	314.338
12.15	361.009
12.2	389.069
12.25	355.449
12.3	387.565
12.35	326.556
12.4	315.886
12.45	337.449
12.5	296.253
12.55	282.661
12.6	342.114
12.65	299.466
12.7	294.694
12.75	310.532
12.8	291.705
12.85	254.518
12.9	333.83
12.95	255.843
13	288.591
13.05	310.765
13.1	282.602
13.15	267.306
13.2	342.589
13.25	267.533
13.3	252.408
13.35	319.8
13.4	269.419
13.45	279.093
13.5	332.771
13.55	289.854
13.6	306.369
13.65	227.169
13.7	249.734
13.75	274.821
13.8	250.061
13.85	268.67
13.9	307.72
13.95	288.333
14	283.123
14.05	329.034
14.1	263.479
14.15	248.135
14.2	298.385
14.25	290.591
14.3	274.103
14.35	337.122
14.4	206.188
14.45	321.873
14.5	342.798
14.55	273.864
14.6	275.218
14.65	293.023
14.7	323.252
14.75	271.281
14.8	336.586
14.85	302.826
14.9	295.243
14.95	331.433
15	295.928
15.05	266.146
15.1	223.257
15.15	311.184
15.2	265.398
15.25	294.711
15.3	242.435
15.35	243.477
15.4	300.488
15.45	264.471
15.5	296.683
15.55	302.94
15.6	283.987
15.65	271.121
15.7	291.329
15.75	238.366
15.8	334.741
15.85	273.862
15.9	228.105
15.95	332.06
16	289.321
16.05	302.163
16.1	312.671
16.15	346.683
16.2	248.128
16.25	335.063
16.3	295.738
16.35	304.778
16.4	322.066
16.45	332.091
16.5	240.9
16.55	236.877
16.6	250.4
16.65	266.439
16.7	242.208
16.75	261.17
16.8	231.674
16.85	219.378
16.9	288.395
16.95	274.082
17	275.443
17.05	328.268
17.1	278.476
17.15	267.902
17.2	336.822
17.25	274.513
17.3	261.389
17.35	271.201
17.4	226.019
17.45	230.914
17.5	242.688
17.55	252.036
17.6	239.011
17.65	246.837
17.7	230.545
17.75	290.401
17.8	231.88
17.85	254.415
17.9	224.01
17.95	303.522
18	215.067
18.05	202.537
18.1	172.955
18.15	237.483
18.2	249.732
18.25	272.942
18.3	240.849
18.35	247.417
18.4	246.402
18.45	235.134
18.5	233.444
18.55	216.275
18.6	243.156
18.65	242.054
18.7	224.919
18.75	213.935
18.8	273.515
18.85	240.628
18.9	237.167
18.95	198.99
19	238.231
19.05	267.662
19.1	252.726
19.15	234.882
19.2	208.414
19.25	197.54
19.3	192.057
19.35	203.645
19.4	216.102
19.45	184.087
19.5	247.128
19.55	231.492
19.6	216.943
19.65	230.307
19.7	150.685
19.75	291.536
19.8	196.025
19.85	206.388
19.9	230.832
19.95	224.425
20	240.988
20.05	219.183
20.1	208.727
20.15	294.705
20.2	239.357
20.25	262.568
20.3	219.021
20.35	234.719
20.4	244.546
20.45	233.818
20.5	159.739
20.55	198.197
20.6	195.727
20.65	173.374
20.7	197.814
20.75	253.015
20.8	208.614
20.85	218.983
20.9	191.526
20.95	204.25
21	335.402
21.05	268.821
21.1	252.145
21.15	205.631
21.2	224.722
21.25	205.716
21.3	249.215
21.35	209.235
21.4	243.503
21.45	160.213
21.5	219.656
