#2-THETA,#INTENSITY
3,8733
3.05,8844
3.1,7917
3.15,8419
3.2,7835
3.25,7102
3.3,7386
3.35,6542
3.4,6606
3.45,6318
3.5,5909
3.55,6363
3.6,5190
3.65,5818
3.7,5391
3.75,5404
3.8,5799
3.85,4481
3.9,5135
3.95,4638
4,4827
4.05,5185
4.1,4064
4.15,4683
4.2,4116
4.25,4200
4.3,4053
4.35,3850
4.4,3939
4.45,3943
4.5,3712
4.55,3951
4.6,3369
4.65,3702
4.7,3218
4.75,3494
4.8,3724
4.85,3354
4.9,3435
4.95,3309
5,3036
5.05,3330
5.1,3478
5.15,3321
5.2,2972
5.25,3237
5.3,3122
5.35,3274
5.4,2989
5.45,3077
5.5,2913
5.55,2907
5.6,2774
5.65,2816
5.7,2755
5.75,2827
5.8,2917
5.85,2752
5.9,2653
5.95,2770
6,2710
6.05,2740
6.1,2697
6.15,2618
6.2,2711
6.25,2619
6.3,2611
6.35,2654
6.4,2478
6.45,2603
6.5,2489
6.55,2750
6.6,2545
6.65,2486
6.7,2687
6.75,2500
6.8,2516
6.85,2519
6.9,2435
6.95,2453
7,2493
7.05,2452
7.1,2460
7.15,2570
7.2,2485
7.25,2329
7.3,2432
7.35,2385
7.4,2405
7.45,2411
7.5,2483
7.55,2517
7.6,2516
7.65,2439
7.7,2433
7.75,2392
7.8,2484
7.85,2328
7.9,2413
7.95,2470
8,2532
8.05,2435
8.1,2455
8.15,2384
8.2,2528
8.25,2382
8.3,2338
8.35,2299
8.4,2550
8.45,2381
8.5,2295
8.55,2429
8.6,2280
8.65,2592
8.7,2323
8.75,2282
8.8,2531
8.85,2442
8.9,2345
8.95,2402
9,2284
9.05,2466
9.1,2442
9.15,2583
9.2,2450
9.25,2261
9.3,2422
9.35,2487
9.4,2308
9.45,2381
9.5,2348
9.55,2481
9.6,2418
9.65,2504
9.7,2453
9.75,2542
9.8,2429
9.85,2377
9.9,2427
9.95,2509
10,2548
10.05,2505
10.1,2594
10.15,2515
10.2,2452
10.25,2417
10.3,2385
10.35,2541
10.4,2402
10.45,2418
10.5,2312
10.55,2336
10.6,2148
10.65,2177
10.7,2132
10.75,2065
10.8,2182
10.85,2010
10.9,1884
10.95,1917
11,1826
11.05,1829
11.1,1720
11.15,1822
11.2,1547
11.25,1715
11.3,1691
11.35,1662
11.4,1576
11.45,1570
11.5,1428
11.55,1442
11.6,1520
11.65,1541
11.7,1472
11.75,1480
11.8,1464
11.85,1334
11.9,1357
11.95,1399
12,1375
12.05,1452
12.1,1446
12.15,1441
12.2,1395
12.25,1316
12.3,1441
12.35,1271
12.4,1436
12.45,1453
12.5,1471
12.55,1371
12.6,1433
12.65,1441
12.7,1437
12.75,1400
12.8,1415
12.85,1394
12.9,1316
12.95,1360
13,1427
13.05,1384
13.1,1395
13.15,1299
13.2,1364
13.25,1355
13.3,1346
13.35,1395
13.4,1428
13.45,1356
13.5,1304
13.55,1369
13.6,1441
13.65,1511
13.7,1421
13.75,1447
13.8,1442
13.85,1424
13.9,1360
13.95,1375
14,1423
14.05,1460
14.1,1360
14.15,1448
14.2,1425
14.25,1331
14.3,1345
14.35,1394
14.4,1375
14.45,1435
14.5,1384
14.55,1359
14.6,1298
14.65,1343
14.7,1368
14.75,1335
14.8,1346
14.85,1364
14.9,1276
14.95,1378
15,1434
15.05,1400
15.1,1326
15.15,1377
15.2,1384
15.25,1363
15.3,1464
15.35,1335
15.4,1430
15.45,1421
15.5,1540
15.55,1399
15.6,1487
15.65,1598
15.7,1523
15.75,1720
15.8,1966
15.85,2049
15.9,2220
15.95,2242
16,2110
16.05,1948
16.1,1822
16.15,1772
16.2,1672
16.25,1580
16.3,1527
16.35,1431
16.4,1549
16.45,1557
16.5,1469
16.55,1468
16.6,1453
16.65,1485
16.7,1436
16.75,1477
16.8,1614
16.85,1774
16.9,2006
16.95,2000
17,2070
17.05,2163
17.1,2059
17.15,1948
17.2,1729
17.25,1590
17.3,1597
17.35,1591
17.4,1623
17.45,1587
17.5,1721
17.55,1707
17.6,1778
17.65,1731
17.7,1734
17.75,1649
17.8,1696
17.85,1677
17.9,1681
17.95,1633
18,1638
18.05,1736
18.1,1695
18.15,1773
18.2,1757
18.25,1779
18.3,1765
18.35,1775
18.4,1753
18.45,1730
18.5,1639
18.55,1670
18.6,1774
18.65,1866
18.7,1783
18.75,1880
18.8,1800
18.85,1773
18.9,1770
18.95,1791
19,1740
19.05,1749
19.1,1729
19.15,1714
19.2,1836
19.25,1739
19.3,1681
19.35,1747
19.4,1724
19.45,1699
19.5,1810
19.55,1692
19.6,1757
19.65,1695
19.7,1786
19.75,1777
19.8,1757
19.85,1798
19.9,1761
19.95,1804
20,1747
20.05,1692
20.1,1744
20.15,1699
20.2,1650
20.25,1739
20.3,1718
20.35,1750
20.4,1678
20.45,1648
20.5,1686
20.55,1610
20.6,1645
20.65,1654
20.7,1622
20.75,1634
20.8,1693
20.85,1621
20.9,1566
20.95,1637
21,1691
21.05,1673
21.1,1814
21.15,1969
21.2,2007
21.25,2079
21.3,1994
21.35,1927
21.4,1871
21.45,1746
21.5,1710
21.55,1635
21.6,1730
21.65,1588
21.7,1657
21.75,1672
21.8,1792
21.85,1833
21.9,1867
21.95,1972
22,1942
22.05,1954
22.1,1978
22.15,1939
22.2,2057
22.25,2139
22.3,2292
22.35,2458
22.4,2501
22.45,2590
22.5,2497
22.55,2404
22.6,2393
22.65,2311
22.7,2254
22.75,2253
22.8,2180
22.85,2243
22.9,2187
22.95,2179
23,2265
23.05,2263
23.1,2244
23.15,2324
23.2,2342
23.25,2196
23.3,2137
23.35,2128
23.4,2117
23.45,2052
23.5,2016
23.55,1986
23.6,1980
23.65,1991
23.7,2033
23.75,2099
23.8,2063
23.85,2117
23.9,2047
23.95,2004
24,1958
24.05,1960
24.1,1976
24.15,2022
24.2,2008
24.25,1986
24.3,2057
24.35,1978
24.4,1955
24.45,2011
24.5,1987
24.55,2022
24.6,1962
24.65,1981
24.7,1973
24.75,2066
24.8,2080
24.85,2084
24.9,2041
24.95,2052
25,2146
25.05,2127
25.1,2126
25.15,2179
25.2,2353
25.25,2711
25.3,3148
25.35,3923
25.4,4648
25.45,5547
25.5,6022
25.55,5857
25.6,5149
25.65,4304
25.7,3454
25.75,2786
25.8,2402
25.85,2153
25.9,2117
25.95,2072
26,2000
26.05,2021
26.1,2022
26.15,2152
26.2,2164
26.25,2233
26.3,2373
26.35,2437
26.4,2529
26.45,2689
26.5,2806
26.55,2761
26.6,2766
26.65,2594
26.7,2439
26.75,2299
26.8,2247
26.85,2042
26.9,1910
26.95,2021
27,1993
27.05,2036
27.1,2032
27.15,2137
27.2,2210
27.25,2496
27.3,2781
27.35,3216
27.4,3820
27.45,4280
27.5,4493
27.55,4407
27.6,4119
27.65,3656
27.7,3347
27.75,2770
27.8,2550
27.85,2306
27.9,2157
27.95,2170
28,2177
28.05,2218
28.1,2341
28.15,2492
28.2,2753
28.25,2859
28.3,3093
28.35,3142
28.4,3098
28.45,3061
28.5,2825
28.55,2624
28.6,2293
28.65,2201
28.7,2149
28.75,2066
28.8,2059
28.85,2062
28.9,1962
28.95,2109
29,2172
29.05,2217
29.1,2362
29.15,2349
29.2,2508
29.25,2675
29.3,2973
29.35,3213
29.4,3599
29.45,3885
29.5,4231
29.55,4281
29.6,4338
29.65,4134
29.7,3914
29.75,3474
29.8,3285
29.85,3062
29.9,2790
29.95,2723
30,2634
30.05,2572
30.1,2509
30.15,2380
30.2,2315
30.25,2265
30.3,2165
30.35,2153
30.4,2129
30.45,2217
30.5,2193
30.55,2316
30.6,2492
30.65,2661
30.7,2802
30.75,2837
30.8,2845
30.85,2784
30.9,2729
30.95,2738
31,2719
31.05,2699
31.1,2731
31.15,2647
31.2,2533
31.25,2576
31.3,2430
31.35,2375
31.4,2342
31.45,2284
31.5,2227
31.55,2312
31.6,2315
31.65,2389
31.7,2467
31.75,2582
31.8,2801
31.85,3011
31.9,3346
31.95,3759
32,4427
32.05,5208
32.1,6172
32.15,7390
32.2,8479
32.25,9412
32.3,9912
32.35,10000
32.4,9607
32.45,9158
32.5,8618
32.55,7864
32.6,7236
32.65,6319
32.7,5408
32.75,4455
32.8,3753
32.85,3171
32.9,3100
32.95,3055
33,3124
33.05,3141
33.1,3046
33.15,2957
33.2,2748
33.25,2453
33.3,2191
33.35,1991
33.4,1885
33.45,1803
33.5,1884
33.55,1809
33.6,1839
33.65,1780
33.7,1780
33.75,1797
33.8,1868
33.85,1807
33.9,1804
33.95,1822
34,1981
34.05,1912
34.1,1995
34.15,2098
34.2,2281
34.25,2476
34.3,3053
34.35,3405
34.4,3969
34.45,4415
34.5,4633
34.55,4843
34.6,4705
34.65,4585
34.7,4237
34.75,3856
34.8,3581
34.85,3223
34.9,3105
34.95,3248
35,3313
35.05,3472
35.1,3635
35.15,3766
35.2,3781
35.25,3635
35.3,3517
35.35,3475
35.4,3247
35.45,3091
35.5,2976
35.55,2959
35.6,3030
35.65,3079
35.7,3095
35.75,3244
35.8,3386
35.85,3440
35.9,3520
35.95,3470
36,3258
36.05,2998
36.1,2688
36.15,2369
36.2,2172
36.25,2098
36.3,2037
36.35,2137
36.4,2232
36.45,2404
36.5,2586
36.55,2760
36.6,2833
36.65,2812
36.7,2682
36.75,2687
36.8,2397
36.85,2418
36.9,2220
36.95,2228
37,2380
37.05,2349
37.1,2441
37.15,2628
37.2,2573
37.25,2656
37.3,2566
37.35,2363
37.4,2381
37.45,2235
37.5,2112
37.55,2004
37.6,1917
37.65,1936
37.7,1800
37.75,1675
37.8,1674
37.85,1648
37.9,1688
37.95,1681
38,1637
38.05,1765
38.1,1786
38.15,1820
38.2,1809
38.25,1794
38.3,1841
38.35,1835
38.4,1794
38.45,1818
38.5,1837
38.55,1820
38.6,1827
38.65,1742
38.7,1696
38.75,1605
38.8,1564
38.85,1605
38.9,1525
38.95,1546
39,1575
39.05,1584
39.1,1570
39.15,1672
39.2,1658
39.25,1700
39.3,1886
39.35,1807
39.4,1802
39.45,1774
39.5,1760
39.55,1736
39.6,1766
39.65,1722
39.7,1767
39.75,1740
39.8,1773
39.85,1820
39.9,1833
39.95,1864
40,1815
40.05,1837
40.1,1754
40.15,1825
40.2,1844
40.25,1879
40.3,1887
40.35,1894
40.4,2116
40.45,2183
40.5,2317
40.55,2519
40.6,2673
40.65,2875
40.7,3020
40.75,3015
40.8,3023
40.85,2897
40.9,2864
40.95,2719
41,2691
41.05,2692
41.1,2814
41.15,3198
41.2,3754
41.25,4458
41.3,5229
41.35,5955
41.4,6429
41.45,6832
41.5,6704
41.55,6298
41.6,5686
41.65,4986
41.7,4396
41.75,4046
41.8,3485
41.85,3417
41.9,3019
41.95,2788
42,2799
42.05,2680
42.1,2751
42.15,2695
42.2,2876
42.25,2764
42.3,2785
42.35,2728
42.4,2596
42.45,2478
42.5,2313
42.55,2233
42.6,2093
42.65,2042
42.7,2020
42.75,1985
42.8,1980
42.85,1906
42.9,1820
42.95,1774
43,1737
43.05,1658
43.1,1580
43.15,1623
43.2,1573
43.25,1651
43.3,1620
43.35,1623
43.4,1737
43.45,1711
43.5,1781
43.55,1790
43.6,1673
43.65,1659
43.7,1607
43.75,1546
43.8,1603
43.85,1644
43.9,1548
43.95,1533
44,1477
44.05,1538
44.1,1572
44.15,1566
44.2,1505
44.25,1525
44.3,1463
44.35,1430
44.4,1446
44.45,1441
44.5,1447
44.55,1427
44.6,1479
44.65,1451
44.7,1463
44.75,1406
44.8,1479
44.85,1478
44.9,1493
44.95,1439
45,1536
45.05,1582
45.1,1661
45.15,1649
45.2,1646
45.25,1659
45.3,1566
45.35,1595
45.4,1567
45.45,1584
45.5,1500
45.55,1567
45.6,1551
45.65,1586
45.7,1664
45.75,1729
45.8,1717
45.85,1760
45.9,1807
45.95,1785
46,1835
46.05,1696
46.1,1742
46.15,1674
46.2,1626
46.25,1552
46.3,1542
46.35,1523
46.4,1520
46.45,1564
46.5,1483
46.55,1457
46.6,1467
46.65,1481
46.7,1448
46.75,1412
46.8,1424
46.85,1433
46.9,1404
46.95,1407
47,1395
47.05,1431
47.1,1373
47.15,1416
47.2,1456
47.25,1435
47.3,1523
47.35,1580
47.4,1627
47.45,1608
47.5,1712
47.55,1727
47.6,1776
47.65,1776
47.7,1755
47.75,1749
47.8,1776
47.85,1732
47.9,1647
47.95,1692
48,1610
48.05,1553
48.1,1577
48.15,1462
48.2,1434
48.25,1474
48.3,1477
48.35,1482
48.4,1396
48.45,1457
48.5,1386
48.55,1448
48.6,1469
48.65,1458
48.7,1425
48.75,1439
48.8,1498
48.85,1510
48.9,1530
48.95,1540
49,1508
49.05,1542
49.1,1585
49.15,1577
49.2,1703
49.25,1780
49.3,1929
49.35,2059
49.4,2016
49.45,2046
49.5,2072
49.55,1967
49.6,1920
49.65,1852
49.7,1811
49.75,1789
49.8,1754
49.85,1784
49.9,1806
49.95,1837
50,1777
50.05,1820
50.1,1702
50.15,1663
50.2,1630
50.25,1707
50.3,1677
50.35,1734
50.4,1758
50.45,1738
50.5,1899
50.55,1865
50.6,1774
50.65,1783
50.7,1593
50.75,1606
50.8,1488
50.85,1371
50.9,1350
50.95,1309
51,1226
51.05,1246
51.1,1279
51.15,1329
51.2,1240
51.25,1244
51.3,1214
51.35,1240
51.4,1225
51.45,1227
51.5,1236
51.55,1275
51.6,1158
51.65,1221
51.7,1265
51.75,1332
51.8,1358
51.85,1409
51.9,1451
51.95,1475
